train_loss,train_acc,valid_acc,lr
1.4382791078903459,0.47199534404684196,0.5888,0.1
0.9167806385931644,0.6729896622286602,0.6876,0.1
0.7097310654988344,0.7515634863891385,0.7464,0.1
0.5833321339027449,0.7976370147344741,0.7466,0.1
0.5077393366531893,0.822581281546842,0.8054,0.1
0.4458209831606258,0.8456069483337078,0.7564,0.1
0.3992476381192153,0.8609286221590909,0.8396,0.1
0.36091807002032344,0.8745166508650238,0.8154,0.1
0.33754359680989926,0.8819962318309329,0.825,0.1
0.3068294525569813,0.8935102982954546,0.8244,0.1
0.2914384347386658,0.8984375,0.8514,0.1
0.26890771577812056,0.9062647963450714,0.8564,0.1
0.2546270697123625,0.9108640111305497,0.834,0.1
0.23441482580859552,0.9186814434149049,0.8374,0.1
0.2334884081924842,0.9178750394758853,0.845,0.1
0.2096528408794918,0.9271425189958378,0.857,0.1
0.2129613103726032,0.9246887823736126,0.842,0.1
0.2007417697036131,0.9297491516917944,0.863,0.1
0.19981620890427043,0.9302793560041622,0.8488,0.1
0.17849173447625202,0.9367651119828224,0.8748,0.1
0.1825788807102733,0.935176965018565,0.8638,0.1
0.17027064084752716,0.9410585346208378,0.8532,0.1
0.15891462394078684,0.9443433357572014,0.848,0.1
0.16523927878800101,0.9424913193691861,0.8428,0.1
0.1670930879931389,0.9405135337940671,0.8662,0.1
0.15874063192909074,0.9442964804104783,0.8266,0.1
0.160031348509206,0.9431177005171776,0.8764,0.1
0.1459119313777509,0.9484000158580866,0.8802,0.1
0.15263161865401675,0.9458081795072014,0.861,0.1
0.142466642904434,0.9494949494573203,0.865,0.1
0.14430542992935938,0.9491669625382532,0.8862,0.1
0.07020098507002165,0.9773319128223441,0.9214,0.010000000000000002
0.032266129441929726,0.992259015921842,0.9258,0.010000000000000002
0.020922698825333184,0.9958274147727273,0.9266,0.010000000000000002
0.015432065228444779,0.9974920099431818,0.9266,0.010000000000000002
0.011958241698183965,0.9980740017172965,0.929,0.010000000000000002
0.008974642139285359,0.9990012428977273,0.9266,0.010000000000000002
0.00794943951173495,0.9991566051136364,0.9252,0.010000000000000002
0.006165945292939961,0.9996670809659091,0.928,0.010000000000000002
0.005726844453337518,0.999755859375,0.928,0.010000000000000002
0.0049945896323399875,0.9997164022854783,0.925,0.010000000000000002
0.004345744565481172,0.9997780539772727,0.9246,0.010000000000000002
0.0037720676049172075,0.9998224431818182,0.9258,0.010000000000000002
0.0034122938807492824,0.9999334161931818,0.9276,0.010000000000000002
0.003163750379495799,0.9999556107954546,0.9254,0.0010000000000000002
0.002929920874686848,0.9999778053977273,0.9256,0.0010000000000000002
0.0028731309375871206,0.9999556107954546,0.9254,0.0010000000000000002
0.0030596768339654027,0.9999556107954546,0.9288,0.0010000000000000002
0.002934139790423532,0.9999556107954546,0.9286,0.0010000000000000002
0.002775970054988813,1.0,0.9278,0.0010000000000000002
